Opportunity ID,Opportunity Name,Partner,Partner Role,Account Name,Billing Country,Created Date
0062000000i0HQv,Banco Internacional del Ecuador-,Dataproject Consulting Ltda,VAR/Reseller,Banco Internacional del Ecuador,Ecuador,3/30/2016
0062000000gpc90,PwC for MUFG Japan,PwC (US),VAR/Reseller,"Mitsubishi UFJ Financial Group, Inc. (MUFG)",Japan,12/4/2015
0062000000hehaK,Cognity for Interamerican,*cognity (SA),VAR/Reseller,Interamerican,Greece,2/16/2016
0062000000hEhel,IME for KAPSARC,IME,VAR/Reseller,KAPSARC,Saudi Arabia,1/13/2016
0062000000fvSk4,RXP for University of South Wales,RXP Services,VAR/Reseller,University of New South Whales,Australia,11/24/2015
0062000000hEhZJ,IME for KFH,IME,VAR/Reseller,Kuwait Finance House,Kuwait,1/13/2016
0062000000Kwp4J,Land O'Lakes-,Softlake Solutions,VAR/Reseller,Land O'Lakes,United States,11/15/2011
0062000000grjYc,ECI for Queensland Urban Utilities,EC Integrators,VAR/Reseller,Queensland Urban Utilities,Australia,12/22/2015
0062000000IplRR,J&J-Perp Lic,Real Dolmen,VAR/Reseller,Johnson & Johnson,United States,5/18/2011
0062000000WjwKN,IME for DU,IME,VAR/Reseller,DU,United Arab Emirates,3/24/2014
0062000000Lc1FD,BJ's Wholesale Club-,Softlake Solutions,VAR/Reseller,BJ's Wholesale Club,United States,12/26/2011
0062000000hzXLk,Masterdata for South African Reserve Bank-,Masterdata (MDM) -reseller,VAR/Reseller,South African Reserve Bank,South Africa,3/21/2016
0062000000XKMWm,AEGON Asset Management-,IntoDQ,VAR/Reseller,AEGON Asset Management,Netherlands,5/14/2014
0062000000fThbp,Clearsense for UCI,Clearsense,VAR/Reseller,University of California Irvine Health (UCI),United States,9/21/2015
0062000000WkPLD,Dataproject for Petrobras-DGC,Dataproject Consulting Ltda,VAR/Reseller,Petrobras,Brazil,3/26/2014
0062000000aHdxK,Republic Services Business Glossary,Oracle,VAR/Reseller,Republic Services,United States,10/16/2014
0062000000IpDqL,ACT HEALTH-OZEMANTICS,Ozemantics,VAR/Reseller,ACT HEALTH,Australia,5/13/2011
0062000000eh85a,IME for Etihad Airways,IME,VAR/Reseller,Etihad Airways,United Arab Emirates,8/2/2015
0062000000Kwp5t,BCBS of Minnesota-,Softlake Solutions,VAR/Reseller,BCBS of Minnesota,United States,11/15/2011
0062000000Fpf9h,Kroll Ontrack-,SoftLake Solutions,VAR/Reseller,Kroll Ontrack,United States,10/11/2010
0062000000a1nfG,IME for Bank Albilad,IME,VAR/Reseller,Bank Albilad,Saudi Arabia,10/1/2014
0062000000fBUsx,Masterdata for Nedbank,Masterdata (MDM) -reseller,VAR/Reseller,Nedbank,South Africa,9/14/2015
0062000000eCzoM,IME for Saudi Teleco,IME,VAR/Reseller,Saudi Telecom (STC),Saudi Arabia,6/23/2015
0062000000WkNhp,Masterdata for FirstRand,Masterdata (MDM) -reseller,VAR/Reseller,FirstRand Bank,South Africa,3/26/2014
0062000000ZzrNK,IME for Mobily,IME,VAR/Reseller,Mobily,Saudi Arabia,9/18/2014
0062000000hHO97,IME for STC Expansion,IME,VAR/Reseller,Saudi Telecom (STC),Saudi Arabia,2/1/2016
0062000000YZWAQ,Masterdata for Standard Bank Group,Masterdata (MDM) -reseller,VAR/Reseller,Standard Bank Group,South Africa,6/25/2014
0062000000c1qn2,IME for KAUST,IME,VAR/Reseller,KAUST,Saudi Arabia,2/2/2015
0062000000IoT99,J&J- Data Governance,Real Dolmen,VAR/Reseller,Johnson & Johnson,United States,5/3/2011
0062000000hELOk,Dataproject for FIESC,Dataproject Consulting Ltda,VAR/Reseller,FIESC The Federation of Industries of the State of Santa Catarina,Brazil,1/11/2016
0062000000XHdz9,RXP for Suncorp,RXP Services Limited (AU),VAR/Reseller,Suncorp,Australia,4/23/2014
0062000000ckdbe,IME for Riyad Bank,IME,VAR/Reseller,Riyad Bank,Saudi Arabia,3/25/2015
0062000000WkNd4,Masterdata for Santam-,Masterdata (MDM) -reseller,VAR/Reseller,Santam,South Africa,3/26/2014
0062000000c3N4D,McKesson - DGC,Shalom Consulting,VAR/Reseller,McKesson Corporation - HQ,United States,2/12/2015
0062000000HW2NH,Kyivstar-,Citia BTC,VAR/Reseller,Kyivstar,Ukraine,1/11/2011
0062000000gEhfT,Lukoil via Acctiva,Acctiva Limited,VAR/Reseller,Lukoil,Russian Federation,11/16/2015
0062000000fThbp,Clearsense for UCI,Optimum Healthcare IT (HIT),VAR/Reseller,University of California Irvine Health (UCI),United States,9/21/2015
0062000000HWSxk,Johnson & Johnson-,Real Dolmen,VAR/Reseller,Johnson & Johnson,United States,1/17/2011
,,,,,,
Opportunity Partner Report,,,,,,
"Copyright (c) 2000-2016 salesforce.com, inc. All rights reserved.",,,,,,
Confidential Information - Do Not Distribute,,,,,,
Generated By: John Angerami 6/28/2016 3:46 PM,,,,,,
Collibra,,,,,,
