OpportunityID,Event,FieldEvent,OldValue,NewValue,Stage,Probability,StageLength,days_in_stage,CreatedDate,ModifiedDate,from_date,EditDate,EditYear,EditMonth,StageChangeDate,AccountCountry,StageDuration,Age,OldNewStage
0062000000gDOoT,opp_created,Created by lead convert,Created,Created,Qualified,20,0 days 09:19:00.000000000,0,11/6/15 0:00,11/6/15 0:00,11/6/15 0:00,11/6/15 9:19,2015,11,12/21/15 0:00,United States,175,220,"(Created, Created)"
0062000000gDOoT,stage_change,Stage,Prospect,Qualified,Qualified,20,45 days 14:14:00.000000000,45,11/6/15 0:00,12/21/15 0:00,11/6/15 0:00,12/21/15 14:14,2015,12,12/21/15 0:00,United States,175,220,"(Prospect, Qualified)"
0062000000a1BhM,opp_created,Created by lead convert,Created,Created,Short List,50,0 days 16:03:00.000000000,0,9/29/14 0:00,9/29/14 0:00,9/29/14 0:00,9/29/14 16:03,2014,9,,United States,513,623,"(Created, Created)"
0062000000a1BhM,stage_change,Stage,Prospect,Buying Process id.,Short List,50,17 days 08:39:00.000000000,17,9/29/14 0:00,10/16/14 0:00,9/29/14 0:00,10/16/14 8:39,2014,10,,United States,513,623,"(Prospect, Buying Process id.)"
0062000000a1BhM,stage_change,Stage,Buying Process id.,Short List,Short List,50,93 days 13:39:00.000000000,93,9/29/14 0:00,1/17/15 0:00,10/16/14 0:00,1/17/15 13:39,2015,1,,United States,513,623,"(Buying Process id., Short List)"
0062000000dB5dU,opp_created,Created.,Created,Created,Closed Deferred,0,0 days 13:57:00.000000000,0,4/3/15 0:00,4/3/15 0:00,4/3/15 0:00,4/3/15 13:57,2015,4,4/28/16 0:00,United States,46,391,"(Created, Created)"
0062000000dB5dU,stage_change,Stage,Buying Process id.,Re-Qualify,Closed Deferred,0,318 days 17:24:00.000000000,318,4/3/15 0:00,2/15/16 0:00,4/3/15 0:00,2/15/16 17:24,2016,2,4/28/16 0:00,United States,46,391,"(Buying Process id., Re-Qualify)"
0062000000dB5dU,stage_change,Stage,Re-Qualify,Closed Deferred,Closed Deferred,0,73 days 09:28:00.000000000,73,4/3/15 0:00,4/28/16 0:00,2/15/16 0:00,4/28/16 9:28,2016,4,4/28/16 0:00,United States,46,391,"(Re-Qualify, Closed Deferred)"
0062000000hEc2M,opp_created,Created by lead convert,Created,Created,Qualified,20,0 days 15:53:00.000000000,0,1/12/16 0:00,1/12/16 0:00,1/12/16 0:00,1/12/16 15:53,2016,1,1/15/16 0:00,United States,150,153,"(Created, Created)"
0062000000hEc2M,stage_change,Stage,Prospect,Qualified,Qualified,20,3 days 16:47:00.000000000,3,1/12/16 0:00,1/15/16 0:00,1/12/16 0:00,1/15/16 16:47,2016,1,1/15/16 0:00,United States,150,153,"(Prospect, Qualified)"
0062000000egPwK,opp_created,Created by lead convert,Created,Created,Prospect,10,0 days 15:16:00.000000000,0,7/27/15 0:00,7/27/15 0:00,7/27/15 0:00,7/27/15 15:16,2015,7,,United States,322,322,"(Created, Created)"
0062000000egPwK,stage_change,SDR Created By,Created,Christina Garza,Prospect,10,213 days 13:57:00.000000000,213,7/27/15 0:00,2/25/16 0:00,7/27/15 0:00,2/25/16 13:57,2016,2,,United States,322,322,"(Created, Christina Garza)"
0062000000fA7MN,opp_created,Created by lead convert,Created,Created,Closed Deferred,0,0 days 09:59:00.000000000,0,9/2/15 0:00,9/2/15 0:00,9/2/15 0:00,9/2/15 9:59,2015,9,5/10/16 0:00,United States,34,251,"(Created, Created)"
0062000000fA7MN,stage_change,SDR Created By,Created,Christina Garza,Closed Deferred,0,176 days 14:00:00.000000000,176,9/2/15 0:00,2/25/16 0:00,9/2/15 0:00,2/25/16 14:00,2016,2,5/10/16 0:00,United States,34,251,"(Created, Christina Garza)"
0062000000fA7MN,stage_change,Stage,Prospect,Closed Deferred,Closed Deferred,0,251 days 14:14:00.000000000,251,9/2/15 0:00,5/10/16 0:00,9/2/15 0:00,5/10/16 14:14,2016,5,5/10/16 0:00,United States,34,251,"(Prospect, Closed Deferred)"
0062000000hEN8P,opp_created,Created by lead convert,Created,Created,Qualified,20,0 days 12:06:00.000000000,0,1/11/16 0:00,1/11/16 0:00,1/11/16 0:00,1/11/16 12:06,2016,1,1/15/16 0:00,United States,150,154,"(Created, Created)"
0062000000hEN8P,stage_change,Stage,Prospect,Qualified,Qualified,20,4 days 16:55:00.000000000,4,1/11/16 0:00,1/15/16 0:00,1/11/16 0:00,1/15/16 16:55,2016,1,1/15/16 0:00,United States,150,154,"(Prospect, Qualified)"
0062000000ZcVUb,opp_created,Created by lead convert,Created,Created,Buying Process id.,40,0 days 13:46:00.000000000,0,9/13/14 0:00,9/13/14 0:00,9/13/14 0:00,9/13/14 13:46,2014,9,4/8/16 0:00,United States,66,639,"(Created, Created)"
0062000000ZcVUb,stage_change,Stage,Prospect,Qualified,Buying Process id.,40,33 days 11:11:00.000000000,33,9/13/14 0:00,10/16/14 0:00,9/13/14 0:00,10/16/14 11:11,2014,10,4/8/16 0:00,United States,66,639,"(Prospect, Qualified)"
0062000000ZcVUb,stage_change,Stage,Qualified,Buying Process id.,Buying Process id.,40,249 days 17:21:00.000000000,249,9/13/14 0:00,6/22/15 0:00,10/16/14 0:00,6/22/15 17:21,2015,6,4/8/16 0:00,United States,66,639,"(Qualified, Buying Process id.)"
0062000000ZcVUb,stage_change,Stage,Buying Process id.,Qualified,Buying Process id.,40,78 days 13:14:00.000000000,78,9/13/14 0:00,9/8/15 0:00,6/22/15 0:00,9/8/15 13:14,2015,9,4/8/16 0:00,United States,66,639,"(Buying Process id., Qualified)"
