,conv_rate,nominator,denominator,avg,stdev,mid_date,end_date,params
Qualified,0.26223776223776224,75,286,90,89,2016-01-03,2015-07-07,"(180, 1)"
Buying Process id.,0.2802547770700637,44,157,121,101,2015-11-21,2015-05-25,"(180, 1)"
Short List,0.5308641975308642,43,81,83,79,2016-01-20,2015-07-24,"(180, 1)"
Chosen Vendor,0.6818181818181818,30,44,34,33,2016-04-24,2015-10-27,"(180, 1)"
Negotiation/Review,0.7567567567567568,28,37,50,69,2016-03-03,2015-09-05,"(180, 1)"
PO In Progress,0.8823529411764706,15,17,12,16,2016-06-02,2015-12-05,"(180, 1)"
Qualified,0.2863636363636364,63,220,90,89,2015-10-06,2015-04-09,"(180, 2)"
Buying Process id.,0.3382352941176471,46,136,121,101,2015-08-12,2015-02-13,"(180, 2)"
Short List,0.53125,34,64,83,79,2015-11-02,2015-05-06,"(180, 2)"
Chosen Vendor,0.7,28,40,34,33,2016-03-22,2015-09-24,"(180, 2)"
Negotiation/Review,0.8285714285714286,29,35,50,69,2015-12-25,2015-06-28,"(180, 2)"
PO In Progress,0.8823529411764706,15,17,12,16,2016-05-17,2015-11-19,"(180, 2)"
Qualified,0.29314420803782504,124,423,90,89,2016-01-03,2015-01-08,"(360, 1)"
Buying Process id.,0.3110236220472441,79,254,121,101,2015-11-21,2014-11-26,"(360, 1)"
Short List,0.5043478260869565,58,115,83,79,2016-01-20,2015-01-25,"(360, 1)"
Chosen Vendor,0.6666666666666666,30,45,34,33,2016-04-24,2015-04-30,"(360, 1)"
Negotiation/Review,0.7454545454545455,41,55,50,69,2016-03-03,2015-03-09,"(360, 1)"
PO In Progress,0.8888888888888888,16,18,12,16,2016-06-02,2015-06-08,"(360, 1)"
Qualified,0.3154034229828851,129,409,90,89,2015-10-06,2014-10-11,"(360, 2)"
Buying Process id.,0.32661290322580644,81,248,121,101,2015-08-12,2014-08-17,"(360, 2)"
Short List,0.4803921568627451,49,102,83,79,2015-11-02,2014-11-07,"(360, 2)"
Chosen Vendor,0.7,28,40,34,33,2016-03-22,2015-03-28,"(360, 2)"
Negotiation/Review,0.7777777777777778,35,45,50,69,2015-12-25,2014-12-30,"(360, 2)"
PO In Progress,0.8888888888888888,16,18,12,16,2016-05-17,2015-05-23,"(360, 2)"
