,OpportunityID,NewValue,OldValue,OldNewStage,Event,FieldEvent,Stage,StageLength,days_in_stage,CreatedDate,from_date,EditYear,EditMonth,ModifiedDate,StageChangeDate,stage_prob,AccountCountry
0,0062000000gDOoT,Created,Created,"('Created', 'Created')",opp_created,Created by lead convert,Qualified,0 days 09:19:00.000000000,0,2015-11-06 00:00:00,2015-11-06 00:00:00,2015,11,2015-11-06,2015-12-21 00:00:00,0,United States
1,0062000000gDOoT,Qualified,Prospect,"(u'Prospect', u'Qualified')",stage_change,Stage,Qualified,45 days 14:14:00.000000000,45,2015-11-06 00:00:00,2015-11-06 00:00:00,2015,12,2015-12-21,2015-12-21 00:00:00,20,United States
2,0062000000a1BhM,Created,Created,"('Created', 'Created')",opp_created,Created by lead convert,Short List,0 days 16:03:00.000000000,0,2014-09-29 00:00:00,2014-09-29 00:00:00,2014,9,2014-09-29,,0,United States
3,0062000000a1BhM,Buying Process id.,Prospect,"(u'Prospect', u'Buying Process id.')",stage_change,Stage,Short List,17 days 08:39:00.000000000,17,2014-09-29 00:00:00,2014-09-29 00:00:00,2014,10,2014-10-16,,40,United States
4,0062000000a1BhM,Short List,Buying Process id.,"(u'Buying Process id.', u'Short List')",stage_change,Stage,Short List,93 days 13:39:00.000000000,93,2014-09-29 00:00:00,2014-10-16 00:00:00,2015,1,2015-01-17,,50,United States
5,0062000000dB5dU,Created,Created,"('Created', 'Created')",opp_created,Created.,Closed Deferred,0 days 13:57:00.000000000,0,2015-04-03 00:00:00,2015-04-03 00:00:00,2015,4,2015-04-03,2016-04-28 00:00:00,0,United States
6,0062000000dB5dU,Re-Qualify,Buying Process id.,"(u'Buying Process id.', u'Re-Qualify')",stage_change,Stage,Closed Deferred,318 days 17:24:00.000000000,318,2015-04-03 00:00:00,2015-04-03 00:00:00,2016,2,2016-02-15,2016-04-28 00:00:00,0,United States
7,0062000000dB5dU,Closed Deferred,Re-Qualify,"(u'Re-Qualify', u'Closed Deferred')",stage_change,Stage,Closed Deferred,73 days 09:28:00.000000000,73,2015-04-03 00:00:00,2016-02-15 00:00:00,2016,4,2016-04-28,2016-04-28 00:00:00,0,United States
8,0062000000hEc2M,Created,Created,"('Created', 'Created')",opp_created,Created by lead convert,Qualified,0 days 15:53:00.000000000,0,2016-01-12 00:00:00,2016-01-12 00:00:00,2016,1,2016-01-12,2016-01-15 00:00:00,0,United States
9,0062000000hEc2M,Qualified,Prospect,"(u'Prospect', u'Qualified')",stage_change,Stage,Qualified,3 days 16:47:00.000000000,3,2016-01-12 00:00:00,2016-01-12 00:00:00,2016,1,2016-01-15,2016-01-15 00:00:00,20,United States
10,0062000000egPwK,Created,Created,"('Created', 'Created')",opp_created,Created by lead convert,Prospect,0 days 15:16:00.000000000,0,2015-07-27 00:00:00,2015-07-27 00:00:00,2015,7,2015-07-27,,0,United States
11,0062000000fA7MN,Created,Created,"('Created', 'Created')",opp_created,Created by lead convert,Closed Deferred,0 days 09:59:00.000000000,0,2015-09-02 00:00:00,2015-09-02 00:00:00,2015,9,2015-09-02,2016-05-10 00:00:00,0,United States
12,0062000000fA7MN,Closed Deferred,Prospect,"(u'Prospect', u'Closed Deferred')",stage_change,Stage,Closed Deferred,251 days 14:14:00.000000000,251,2015-09-02 00:00:00,2015-09-02 00:00:00,2016,5,2016-05-10,2016-05-10 00:00:00,0,United States
13,0062000000hEN8P,Created,Created,"('Created', 'Created')",opp_created,Created by lead convert,Qualified,0 days 12:06:00.000000000,0,2016-01-11 00:00:00,2016-01-11 00:00:00,2016,1,2016-01-11,2016-01-15 00:00:00,0,United States
14,0062000000hEN8P,Qualified,Prospect,"(u'Prospect', u'Qualified')",stage_change,Stage,Qualified,4 days 16:55:00.000000000,4,2016-01-11 00:00:00,2016-01-11 00:00:00,2016,1,2016-01-15,2016-01-15 00:00:00,20,United States
15,0062000000ZcVUb,Created,Created,"('Created', 'Created')",opp_created,Created by lead convert,Buying Process id.,0 days 13:46:00.000000000,0,2014-09-13 00:00:00,2014-09-13 00:00:00,2014,9,2014-09-13,2016-04-08 00:00:00,0,United States
