yr_qt,OldValue,OpportunityID,Event,FieldEvent,NewValue,Stage,Probability,StageLength,days_in_stage,CreatedDate,ModifiedDate,from_date,EditYear,EditMonth,StageChangeDate,AccountCountry,StageDuration,Age,OldNewStage,quarter,yr_2
2014Q1,Buying Process id.,7,7,7,7,7,7,7,7,7,7,7,7,7,0,7,7,7,7,7,7
2014Q1,Closed Lost,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
2014Q1,Created,13,13,13,13,13,13,13,13,13,13,13,13,13,2,13,13,13,13,13,13
2014Q1,Negotiation/Review,6,6,6,6,6,6,6,6,6,6,6,6,6,2,6,6,6,6,6,6
2014Q1,Prospect,12,12,12,12,12,12,12,12,12,12,12,12,12,1,12,12,12,12,12,12
2014Q1,Qualified,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
2014Q1,Short List,6,6,6,6,6,6,6,6,6,6,6,6,6,0,6,6,6,6,6,6
2014Q2,Buying Process id.,10,10,10,10,10,10,10,10,10,10,10,10,10,3,10,10,10,10,10,10
2014Q2,Closed Deferred,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
2014Q2,Created,352,352,352,352,352,352,352,352,352,352,352,352,352,83,350,352,352,352,352,352
2014Q2,Negotiation/Review,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2
2014Q2,Prospect,197,197,197,197,197,197,197,197,197,197,197,197,197,49,196,197,197,197,197,197
2014Q2,Qualified,8,8,8,8,8,8,8,8,8,8,8,8,8,1,8,8,8,8,8,8
2014Q2,Short List,12,12,12,12,12,12,12,12,12,12,12,12,12,2,12,12,12,12,12,12
2014Q3,Buying Process id.,41,41,41,41,41,41,41,41,41,41,41,41,41,8,41,41,41,41,41,41
2014Q3,Closed Deferred,6,6,6,6,6,6,6,6,6,6,6,6,6,2,6,6,6,6,6,6
2014Q3,Closed Lost,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
